,artist_name,artist_id,playlist_song,country,artist_uri
5,Luke Combs,718COspgdWOnwOFpJHRZHS,Fast Car,AU,spotify:artist:718COspgdWOnwOFpJHRZHS
6,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Heartless,AU,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
7,SZA,7tYKF4w9nC0nq9CsPZTHyP,Kill Bill,AU,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
8,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Monster,AU,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
9,Post Malone,246dkjvS1zLTtiykXe5h60,Chemical,AU,spotify:artist:246dkjvS1zLTtiykXe5h60
10,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,AU,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
11,21 Savage,1URnnhqYAYcrqrcwql10ft,ball w/o you,AU,spotify:artist:1URnnhqYAYcrqrcwql10ft
12,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,I KNOW ?,AU,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
13,Harry Styles,6KImCVD70vtIoJWnq6nGn3,As It Was,AU,spotify:artist:6KImCVD70vtIoJWnq6nGn3
14,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Creepin' (with The Weeknd & 21 Savage),AU,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
15,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,I Remember Everything (feat. Kacey Musgraves),AU,spotify:artist:40ZNYROS4zLfyyBSs2PGe2
16,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"What Was I Made For? [From The Motion Picture ""Barbie""]",AU,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
17,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Say Yes To Heaven,AU,spotify:artist:00FQb4jTyendYWaN8pK0wa
18,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Ghost,AU,spotify:artist:1uNFoZAHBGtllmzznpCI3s
19,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Money Trees,AU,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
20,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Flowers,AU,spotify:artist:5YGY8feqx7naU7z4HrwZM6
21,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Under The Influence,AU,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
22,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Paint The Town Red,AU,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
23,Future,1RyvyyTE3xzB2ZywiAwp0i,WAIT FOR U (feat. Drake & Tems),AU,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
24,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Baby Don't Hurt Me,AU,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
25,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,AU,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
26,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Desire (with Sam Smith),AU,spotify:artist:7CajNmpbOovFoOoasH2HaY
27,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,AU,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
28,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Houdini,AU,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
29,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,vampire,AU,spotify:artist:1McMsnEElThX1knmY4oliG
30,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Something Just Like This,AU,spotify:artist:69GGBxA162lTqCwzJG5jLp
31,P!nk,1KCSPY1glIKqW2TotWuXOR,TRUSTFALL,AU,spotify:artist:1KCSPY1glIKqW2TotWuXOR
32,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,All Girls Are The Same,AU,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
33,Beyoncé,6vWDO969PvNqNYHIOW5v0m,CUFF IT,AU,spotify:artist:6vWDO969PvNqNYHIOW5v0m
34,Central Cee,5H4yInM5zmHqpKIoMNAx4r,Doja,AU,spotify:artist:5H4yInM5zmHqpKIoMNAx4r
35,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Numb,AU,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
36,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Dreams - 2004 Remaster,AU,spotify:artist:08GQAI4eElDnROBrJRGE0X
37,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Leave The Door Open,AU,spotify:artist:0du5cEVh5yTK9QJze8zA0C
38,The Wiggles,2JY5qzEozvTdogkDTkkOMf,Rock-a-Bye Your Bear,AU,spotify:artist:2JY5qzEozvTdogkDTkkOMf
39,Sam Smith,2wY79sveU1sp5g7SokKOiI,Unholy (feat. Kim Petras),AU,spotify:artist:2wY79sveU1sp5g7SokKOiI
40,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Bones,AU,spotify:artist:53XhwfbYqKCa1cC15pYq2q
41,Elton John,3PhoLpVuITZKcymswpck5b,Cold Heart - PNAU Remix,AU,spotify:artist:3PhoLpVuITZKcymswpck5b
42,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Barbie World (with Aqua) [From Barbie The Album],AU,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
43,Adele,4dpARuHxo51G3z768sgnrY,Easy On Me,AU,spotify:artist:4dpARuHxo51G3z768sgnrY
44,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,Revenge,AU,spotify:artist:15UsOTVnJzReFVN1VCnxy4
45,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,AU,spotify:artist:1HY2Jd0NmPuamShAr6KMms
46,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Too Hard (Lil Baby & Gunna),AU,spotify:artist:5f7VJjfbwm532GiveGC0ZK
47,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,STAY (with Justin Bieber),AU,spotify:artist:2tIP7SsRs7vjIcLrU85W8J
48,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Pink + White,AU,spotify:artist:2h93pZq0e7k5yf4dywlkpM
49,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,I Wanna Be Yours,AU,spotify:artist:7Ln80lUS6He07XvHI8qqHH
0,Drake,3TVXtAsR1Inumwj472S9r4,Slime You Out (feat. SZA),ZA,spotify:artist:3TVXtAsR1Inumwj472S9r4
1,Kabza De Small,1bNjWBFWsAAzZSR59lRdpR,"Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)",ZA,spotify:artist:1bNjWBFWsAAzZSR59lRdpR
2,DJ Maphorisa,0mMqD2uqwvCjFvlzo6ayGi,"Imali iKhona (feat. Mellow & Sleazy, Madumane & Uncool MC)",ZA,spotify:artist:0mMqD2uqwvCjFvlzo6ayGi
3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"One Of The Girls (with JENNIE, Lily Rose Depp)",ZA,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
4,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Is It Over Now? (Taylor's Version) (From The Vault),ZA,spotify:artist:06HL4z0CvFAxyc27GXpf02
5,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Sensational (feat. Davido & Lojay),ZA,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
6,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,No Role Modelz,ZA,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
7,Drake,3TVXtAsR1Inumwj472S9r4,Rich Flex,ZA,spotify:artist:3TVXtAsR1Inumwj472S9r4
8,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,FE!N (feat. Playboi Carti),ZA,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
9,SZA,7tYKF4w9nC0nq9CsPZTHyP,Kill Bill,ZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
10,Sjava,4RfOLIFy2xEmlWzXEVmLJn,Amavaka,ZA,spotify:artist:4RfOLIFy2xEmlWzXEVmLJn
11,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Needed Me,ZA,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
12,Future,1RyvyyTE3xzB2ZywiAwp0i,WAIT FOR U (feat. Drake & Tems),ZA,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
13,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Creepin' (with The Weeknd & 21 Savage),ZA,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
14,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,N95,ZA,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
15,Beyoncé,6vWDO969PvNqNYHIOW5v0m,CUFF IT,ZA,spotify:artist:6vWDO969PvNqNYHIOW5v0m
16,Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,Sukakude (feat. Sfarzo Rtee),ZA,spotify:artist:4VlxI0WKDh7HFgHjXcfj6v
17,Mellow & Sleazy,5MJ5f1XKD9yu7aWfG8OGjz,Imnandi lento (feat. Tman Xpress),ZA,spotify:artist:5MJ5f1XKD9yu7aWfG8OGjz
18,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Merch Madness,ZA,spotify:artist:5f7VJjfbwm532GiveGC0ZK
19,Nasty C,2gzWmhOZhDN6gXL49JW9qj,No More,ZA,spotify:artist:2gzWmhOZhDN6gXL49JW9qj
20,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,American Town,ZA,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
21,AKA,1QIghPIrXQQ22G1yNtAKFX,Company,ZA,spotify:artist:1QIghPIrXQQ22G1yNtAKFX
22,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Girls Need Love,ZA,spotify:artist:57LYzLEk2LcFghVwuWbcuS
23,Tyler ICU,2oIQCM7hRZI9tS5b9S8rj4,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",ZA,spotify:artist:2oIQCM7hRZI9tS5b9S8rj4
24,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Without Me,ZA,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
25,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,ALL MINE,ZA,spotify:artist:3tlXnStJ1fFhdScmQeLpuG
26,Burna Boy,3wcj11K77LjEY1PkEazffa,"Tested, Approved & Trusted",ZA,spotify:artist:3wcj11K77LjEY1PkEazffa
27,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Last Time I Saw You,ZA,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
28,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"What Was I Made For? [From The Motion Picture ""Barbie""]",ZA,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
29,Joyous Celebration,6jG7VTyXJjdrVP4jNjDX9W,Ndenzel' Uncedo Hymn 377 - Live,ZA,spotify:artist:6jG7VTyXJjdrVP4jNjDX9W
30,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Lucid Dreams,ZA,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
31,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,fukumean,ZA,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
32,Aymos,3xXIOO328Ieh0PWOcxivjL,Fatela,ZA,spotify:artist:3xXIOO328Ieh0PWOcxivjL
33,Post Malone,246dkjvS1zLTtiykXe5h60,Chemical,ZA,spotify:artist:246dkjvS1zLTtiykXe5h60
34,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Ghost,ZA,spotify:artist:1uNFoZAHBGtllmzznpCI3s
35,A-Reece,5TirRF3azWV5OpyufcDCFP,VING RHAMES,ZA,spotify:artist:5TirRF3azWV5OpyufcDCFP
36,Inkabi Zezwe,3L21ifeFAXwNN2ui6NyG0k,Umbayimbayi,ZA,spotify:artist:3L21ifeFAXwNN2ui6NyG0k
37,Khalid,6LuN9FCkKOj5PcnpouEgny,Silver Platter (From Barbie The Album),ZA,spotify:artist:6LuN9FCkKOj5PcnpouEgny
38,Murumba Pitch,3cd7plsjSmDdQ0oHESYHC4,Wena Dali,ZA,spotify:artist:3cd7plsjSmDdQ0oHESYHC4
39,Spirit Of Praise,4WN1JAeUnvBiLteTeFSwUa,Moy’ Oyingcwele (Live),ZA,spotify:artist:4WN1JAeUnvBiLteTeFSwUa
40,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,ZA,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
41,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Agora Hills,ZA,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
42,Mas Musiq,3fdFRgy3GmfiWQqeKbmFS8,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),ZA,spotify:artist:3fdFRgy3GmfiWQqeKbmFS8
43,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Baby Don't Hurt Me,ZA,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
44,Young Stunna,6WQFTzqYHmh8Ph2X0L0QLQ,uNonkosi (feat. Deeper Phil & Mfundo Da DJ),ZA,spotify:artist:6WQFTzqYHmh8Ph2X0L0QLQ
45,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,SAD!,ZA,spotify:artist:15UsOTVnJzReFVN1VCnxy4
46,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Enemy (with JID) - from the series Arcane League of Legends,ZA,spotify:artist:53XhwfbYqKCa1cC15pYq2q
47,2 Chainz,17lzZA2AlOHwCwFALHttmp,Presha,ZA,spotify:artist:17lzZA2AlOHwCwFALHttmp
48,Young Thug,50co4Is1HCEo8bhOyUWKpn,Oh U Went (feat. Drake),ZA,spotify:artist:50co4Is1HCEo8bhOyUWKpn
49,Daliwonga,0oW137oXCLwA5b4uYRxvIn,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),ZA,spotify:artist:0oW137oXCLwA5b4uYRxvIn
0,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Is It Over Now? (Taylor's Version) (From The Vault),CA,spotify:artist:06HL4z0CvFAxyc27GXpf02
1,Drake,3TVXtAsR1Inumwj472S9r4,IDGAF (feat. Yeat),CA,spotify:artist:3TVXtAsR1Inumwj472S9r4
2,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Last Night,CA,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM
3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,CA,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
4,21 Savage,1URnnhqYAYcrqrcwql10ft,ball w/o you,CA,spotify:artist:1URnnhqYAYcrqrcwql10ft
5,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,I KNOW ?,CA,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
6,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Calling - Spider-Man: Across the Spider-Verse,CA,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
7,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Father Stretch My Hands Pt. 1,CA,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
8,SZA,7tYKF4w9nC0nq9CsPZTHyP,Kill Bill,CA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
9,Luke Combs,718COspgdWOnwOFpJHRZHS,Fast Car,CA,spotify:artist:718COspgdWOnwOFpJHRZHS
10,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,I Remember Everything (feat. Kacey Musgraves),CA,spotify:artist:40ZNYROS4zLfyyBSs2PGe2
11,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Without Me,CA,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
12,Future,1RyvyyTE3xzB2ZywiAwp0i,WAIT FOR U (feat. Drake & Tems),CA,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
13,Post Malone,246dkjvS1zLTtiykXe5h60,Chemical,CA,spotify:artist:246dkjvS1zLTtiykXe5h60
14,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Go Hard,CA,spotify:artist:5f7VJjfbwm532GiveGC0ZK
15,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Eyes Closed,CA,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
16,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Love On The Brain,CA,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
17,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,N95,CA,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
18,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Say Yes To Heaven,CA,spotify:artist:00FQb4jTyendYWaN8pK0wa
19,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Robbery,CA,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
20,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,No Role Modelz,CA,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
21,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Ghost,CA,spotify:artist:1uNFoZAHBGtllmzznpCI3s
22,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MONACO,CA,spotify:artist:4q3ewBCX7sLwd24euuV69X
23,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Baby Don't Hurt Me,CA,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
24,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Just Wanna Rock,CA,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
25,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"What Was I Made For? [From The Motion Picture ""Barbie""]",CA,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
26,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Flowers,CA,spotify:artist:5YGY8feqx7naU7z4HrwZM6
27,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Paint The Town Red,CA,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
28,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,positions,CA,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
29,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,fukumean,CA,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
30,$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,Not Even Ghosts Are This Empty,CA,spotify:artist:1VPmR4DJC1PlOtd0IADAO0
31,Lil Durk,3hcs9uc56yIGFCSy9leWe7,All My Life (feat. J. Cole),CA,spotify:artist:3hcs9uc56yIGFCSy9leWe7
32,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Children of the Sky (a Starfield song),CA,spotify:artist:53XhwfbYqKCa1cC15pYq2q
33,Harry Styles,6KImCVD70vtIoJWnq6nGn3,As It Was,CA,spotify:artist:6KImCVD70vtIoJWnq6nGn3
34,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,vampire,CA,spotify:artist:1McMsnEElThX1knmY4oliG
35,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,MVP (feat. G-Eazy),CA,spotify:artist:31W5EY0aAly4Qieq6OFu6I
36,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Last Time I Saw You,CA,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
37,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,"I spoke to the devil in miami, he said everything would be fine",CA,spotify:artist:15UsOTVnJzReFVN1VCnxy4
38,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,SORRY NOT SORRY,CA,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF
39,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Dial Drunk (with Post Malone),CA,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B
40,Yeat,3qiHUAX7zY4Qnjx8TNUzVx,bigger thën everything,CA,spotify:artist:3qiHUAX7zY4Qnjx8TNUzVx
41,Polo G,6AgTAQt8XS6jRWi4sX7w49,Barely Holdin' On,CA,spotify:artist:6AgTAQt8XS6jRWi4sX7w49
42,Khalid,6LuN9FCkKOj5PcnpouEgny,Softest Touch,CA,spotify:artist:6LuN9FCkKOj5PcnpouEgny
43,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Houdini,CA,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
44,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Summer Too Hot,CA,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
45,Beyoncé,6vWDO969PvNqNYHIOW5v0m,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),CA,spotify:artist:6vWDO969PvNqNYHIOW5v0m
46,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Yellow,CA,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
47,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,What You Know Bout Love,CA,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
48,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Hold My Hand,CA,spotify:artist:1HY2Jd0NmPuamShAr6KMms
49,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,That's What I Like,CA,spotify:artist:0du5cEVh5yTK9QJze8zA0C
