song_id,song_name,artist_name,artist_id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_code
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2019-08-23,99,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427.0,4.0,aa
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-26,93,0.596,0.658,0.0,-7.346,1.0,0.036,0.0504,0.0,0.127,0.176,100.012,229478.0,4.0,bb
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2022-10-21,92,0.637,0.643,4.0,-6.571,1.0,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690.0,4.0,cc
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),Drake,3TVXtAsR1Inumwj472S9r4,2023-10-06,92,0.663,0.67,8.0,-8.399,1.0,0.271,0.0464,8.92e-05,0.205,0.138,136.952,260111.0,4.0,aa
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,3TVXtAsR1Inumwj472S9r4,2023-10-06,92,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,319192.0,4.0,bb
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),Drake,3TVXtAsR1Inumwj472S9r4,2023-10-06,90,0.47,0.64,2.0,-7.779,1.0,0.32,0.0277,0.0,0.382,0.248,163.92,247444.0,4.0,cc
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2023-06-23,97,0.522,0.641,8.0,-6.287,1.0,0.0318,0.0545,0.0,0.162,0.202,87.51,244685.0,4.0,aa
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2023-06-02,95,0.855,0.678,1.0,-6.276,1.0,0.189,0.0569,3.69e-05,0.412,0.852,99.029,215467.0,4.0,bb
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2016-11-25,94,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453.0,4.0,cc
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013-09-09,96,0.464,0.417,0.0,-9.345,0.0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956.0,4.0,aa
0BxE4FqsDD1Ot4YuBXwAPp,505,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2007-04-22,88,0.526,0.866,0.0,-5.822,1.0,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,253587.0,4.0,bb
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013-09-09,91,0.691,0.631,2.0,-6.478,1.0,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124.0,4.0,cc
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2017-03-03,90,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,3.0,aa
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2017-03-03,89,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0,4.0,bb
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2008-11-24,91,0.79,0.647,10.0,-5.983,0.0,0.136,0.0515,0.0,0.248,0.654,87.999,211000.0,4.0,cc
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2007-09-11,90,0.639,0.628,6.0,-7.578,0.0,0.0399,0.0381,0.0,0.386,0.43,90.482,237507.0,4.0,aa
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2016-06-10,90,0.724,0.573,7.0,-4.113,1.0,0.0549,0.118,0.0,0.538,0.438,113.088,135920.0,4.0,bb
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2002-05-26,91,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,4.0,cc
561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2004-11-12,91,0.637,0.678,0.0,-3.798,1.0,0.266,0.209,0.0,0.156,0.254,84.039,250760.0,4.0,aa
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2000-05-23,90,0.949,0.661,5.0,-4.244,0.0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0,4.0,bb
2FDTHlrBguDzQkp7PVj16Q,Sprinter,Dave,6Ip8FS7vWT1uKkJSweANQK,2023-06-01,90,0.916,0.583,1.0,-8.067,1.0,0.241,0.186,0.0,0.0798,0.661,141.095,226383.0,4.0,cc
3z4CGd63tpUn9a6oQSG0CI,Location (feat. Burna Boy),Dave,6Ip8FS7vWT1uKkJSweANQK,2019-03-08,80,0.812,0.496,9.0,-5.969,0.0,0.297,0.271,0.0,0.0955,0.55,109.979,241293.0,4.0,aa
6j3wDNKqEeZ6QwPtCcpJX8,Stop Giving Me Advice (with Jack Harlow & Dave),Dave,6Ip8FS7vWT1uKkJSweANQK,2023-12-08,80,0.641,0.681,6.0,-4.888,0.0,0.283,0.504,2.69e-05,0.103,0.896,101.429,242453.0,4.0,bb
0U10zFw4GlBacOy9VDGfGL,We Found Love,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2011-11-19,82,0.735,0.766,1.0,-4.485,1.0,0.0383,0.025,0.00138,0.108,0.6,127.985,215227.0,4.0,cc
7i0jaBLpIADxqNbhAb4XFb,Diamonds,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2012-12-10,78,0.564,0.71,11.0,-4.92,0.0,0.0461,0.00125,0.0,0.109,0.393,91.972,225147.0,4.0,aa
49FYlytm3dAAraYgpoJZux,Umbrella,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2008-06-02,86,0.583,0.829,1.0,-4.603,1.0,0.134,0.00864,0.0,0.0426,0.575,174.028,275987.0,4.0,bb
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,7tYKF4w9nC0nq9CsPZTHyP,2022-12-09,86,0.644,0.728,8.0,-5.75,1.0,0.0351,0.0543,0.169,0.161,0.43,88.993,153947.0,4.0,cc
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,7tYKF4w9nC0nq9CsPZTHyP,2022-12-09,93,0.559,0.551,5.0,-7.231,1.0,0.132,0.141,0.0,0.11,0.392,143.008,201800.0,4.0,aa
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),SZA,7tYKF4w9nC0nq9CsPZTHyP,2023-10-06,92,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,319192.0,4.0,bb
1Ist6PR2BZR3n2z2Y5R6S1,Summertime Sadness,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2012-01-01,79,0.566,0.647,1.0,-6.815,0.0,0.0335,0.0477,0.0,0.121,0.22,111.96,264773.0,4.0,cc
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2023-05-19,90,0.49,0.352,6.0,-11.577,0.0,0.0254,0.709,0.0856,0.114,0.166,99.992,209156.0,4.0,aa
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2013-01-01,88,0.324,0.416,11.0,-8.92,0.0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053.0,4.0,bb
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,6KImCVD70vtIoJWnq6nGn3,2022-05-20,95,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303.0,4.0,cc
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,2019-12-13,89,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0,aa
5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,6KImCVD70vtIoJWnq6nGn3,2017-05-12,85,0.516,0.595,5.0,-4.63,1.0,0.0313,0.0275,0.0,0.109,0.222,119.972,340707.0,4.0,bb
2FDTHlrBguDzQkp7PVj16Q,Sprinter,Central Cee,5H4yInM5zmHqpKIoMNAx4r,2023-06-01,90,0.916,0.583,1.0,-8.067,1.0,0.241,0.186,0.0,0.0798,0.661,141.095,226383.0,4.0,cc
100fbGocyqbBPQkTDchi2g,TOO MUCH,Central Cee,5H4yInM5zmHqpKIoMNAx4r,2023-11-10,76,0.753,0.719,10.0,-5.607,0.0,0.199,0.264,0.0,0.154,0.474,94.977,203895.0,4.0,aa
3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,5H4yInM5zmHqpKIoMNAx4r,2022-07-21,84,0.911,0.573,6.0,-7.43,1.0,0.288,0.38,0.0,0.403,0.972,140.04,97393.0,4.0,bb
59NraMJsLaMCVtwXTSia8i,Prada,D-Block Europe,5VadK1havLhK1OpKYsXv9y,2023-08-11,94,0.638,0.717,8.0,-5.804,1.0,0.0375,0.001,1.79e-06,0.113,0.422,141.904,132359.0,4.0,cc
337kcYVjYXdLBItCw9ry3b,Overseas,D-Block Europe,5VadK1havLhK1OpKYsXv9y,2021-11-19,73,0.838,0.623,8.0,-7.524,0.0,0.354,0.532,0.0,0.307,0.811,135.935,222155.0,4.0,aa
2kQ9udZ0v3H8PFSVmbY1Kq,Darling,D-Block Europe,5VadK1havLhK1OpKYsXv9y,2019-09-27,72,,,,,,,,,,,,,,bb
0TwBtDAWpkpM3srywFVOV5,Crazy In Love (feat. Jay-Z),Beyoncé,6vWDO969PvNqNYHIOW5v0m,2003-03-10,81,0.664,0.758,2.0,-6.583,0.0,0.21,0.00238,0.0,0.0598,0.701,99.259,235933.0,4.0,cc
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,6vWDO969PvNqNYHIOW5v0m,2022-07-29,85,0.78,0.689,7.0,-5.668,1.0,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,225389.0,4.0,aa
2MfOcbtgz2yTsiznFmVZUN,Halo,Beyoncé,6vWDO969PvNqNYHIOW5v0m,2008-11-12,71,0.508,0.72,11.0,-5.908,0.0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640.0,4.0,bb
2Y4ImmYsxc4bclzGlmvlzo,Water - Remix,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2023-12-01,70,0.739,0.749,6.0,-3.318,1.0,0.0746,0.12,0.0,0.149,0.505,117.03,200256.0,4.0,cc
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2023-07-28,92,0.927,0.619,5.0,-4.441,0.0,0.0539,0.0186,0.0,0.104,0.817,117.995,211582.0,4.0,aa
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2023-07-28,91,0.569,0.882,3.0,-2.777,0.0,0.06,0.0316,0.0,0.142,0.201,148.038,191701.0,4.0,bb
0U10zFw4GlBacOy9VDGfGL,We Found Love,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2011-11-19,82,0.735,0.766,1.0,-4.485,1.0,0.0383,0.025,0.00138,0.108,0.6,127.985,215227.0,4.0,cc
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,7CajNmpbOovFoOoasH2HaY,2018-04-06,87,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847.0,4.0,aa
22dUzMFttcR3uU17NcOAIv,Desire (with Sam Smith),Calvin Harris,7CajNmpbOovFoOoasH2HaY,2023-07-28,86,0.587,0.924,11.0,-5.433,0.0,0.0457,0.0311,0.0171,0.23,0.509,140.009,179162.0,4.0,bb
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2022-08-26,93,0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238.0,4.0,cc
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2023-04-06,88,0.602,0.91,7.0,-3.404,1.0,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018.0,4.0,aa
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2012-12-07,85,0.604,0.787,0.0,-3.674,0.0,0.103,0.0679,0.15,0.127,0.301,126.062,245040.0,4.0,bb
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,246dkjvS1zLTtiykXe5h60,2019-09-06,88,0.755,0.522,2.0,-4.368,1.0,0.0575,0.533,0.0,0.0685,0.925,89.96,157560.0,4.0,cc
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,2019-09-06,89,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,4.0,aa
5w40ZYhbBMAlHYNDaVJIUu,Chemical,Post Malone,246dkjvS1zLTtiykXe5h60,2023-04-14,87,0.498,0.897,2.0,-4.907,1.0,0.045,0.00136,0.0,0.118,0.373,169.902,184013.0,4.0,bb
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2023-07-13,94,0.444,0.0911,0.0,-17.665,1.0,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370.0,4.0,cc
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2018-04-19,91,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,4.0,aa
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2017-12-22,85,0.511,0.363,4.0,-7.65,0.0,0.041,0.816,0.0317,0.084,0.169,144.892,200379.0,4.0,bb
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),21 Savage,1URnnhqYAYcrqrcwql10ft,2022-12-02,92,0.715,0.62,1.0,-6.005,0.0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520.0,4.0,cc
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,1URnnhqYAYcrqrcwql10ft,2024-01-12,89,,,,,,,,,,,,,,aa
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),21 Savage,1URnnhqYAYcrqrcwql10ft,2022-06-17,89,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365.0,4.0,bb
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,2023-09-08,95,0.511,0.532,5.0,-5.745,1.0,0.0578,0.177,0.0,0.291,0.35,138.005,219724.0,4.0,cc
17cia5k4BpGVlyEfqrFH50,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,2023-11-17,87,0.518,0.368,11.0,-7.76,0.0,0.0353,0.855,4.9e-06,0.119,0.234,141.934,205484.0,4.0,aa
3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,2023-09-08,89,0.627,0.879,9.0,-3.446,1.0,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,184784.0,4.0,bb
2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),Future,1RyvyyTE3xzB2ZywiAwp0i,2022-12-02,90,0.684,0.671,7.0,-4.392,0.0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920.0,4.0,cc
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Future,1RyvyyTE3xzB2ZywiAwp0i,2022-12-02,89,0.526,0.606,5.0,-5.3,0.0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4.0,aa
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),Future,1RyvyyTE3xzB2ZywiAwp0i,2023-07-28,87,0.458,0.535,5.0,-4.854,0.0,0.0281,0.575,0.0,0.168,0.216,82.826,353755.0,4.0,bb
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2000-07-10,92,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773.0,4.0,cc
3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2008-06-19,76,0.486,0.617,5.0,-7.115,0.0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373.0,4.0,aa
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2017-04-07,88,0.617,0.635,11.0,-6.769,0.0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,4.0,bb
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2022-12-02,89,0.526,0.606,5.0,-5.3,0.0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4.0,cc
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2019-10-04,88,0.733,0.69,9.0,-5.529,0.0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613.0,4.0,aa
3XqM8hLCEYlbnFjoWwqtFv,Angel Numbers / Ten Toes,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2023-11-10,87,0.406,0.5,4.0,-8.452,0.0,0.0501,0.192,0.0,0.175,0.0905,157.984,306847.0,4.0,bb
3di5hcvxxciiqwMH1jarhY,Set Fire to the Rain,Adele,4dpARuHxo51G3z768sgnrY,2011-01-24,86,0.603,0.67,2.0,-3.882,0.0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974.0,4.0,cc
6VObnIkLVruX4UVyxWhlqm,Skyfall,Adele,4dpARuHxo51G3z768sgnrY,2012-10-04,89,,,,,,,,,,,,,,aa
46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,4dpARuHxo51G3z768sgnrY,2021-11-19,84,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,224695.0,4.0,bb
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2019-05-17,91,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0,cc
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2019-11-22,87,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,4.0,aa
3gdPwk2wyOXNRnTA1KXnEr,Wish You The Best,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2023-05-19,84,0.676,0.461,3.0,-3.59,1.0,0.0304,0.555,0.0,0.0951,0.466,107.95,210880.0,4.0,bb
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,92,0.715,0.62,1.0,-6.005,0.0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520.0,4.0,cc
2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,90,0.684,0.671,7.0,-4.392,0.0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920.0,4.0,aa
5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,89,0.571,0.549,1.0,-7.38,0.0,0.404,0.18,0.0,0.168,0.447,119.497,194787.0,4.0,bb
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2023-08-18,94,0.706,0.691,0.0,-4.775,1.0,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600.0,4.0,cc
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2009-01-01,85,0.652,0.698,10.0,-4.667,0.0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067.0,4.0,aa
